id,label
1,地址/地标
2,美食
3,无意义/闲聊
4,美食
5,美食
6,其他生活服务
7,其他生活服务
8,地址/地标
9,无意义/闲聊
10,美食
11,无意义/闲聊
12,无意义/闲聊
13,美食
14,美食
15,美食
16,美食
17,地址/地标
18,其他生活服务
19,美食
20,其他生活服务
21,美食
22,地址/地标
23,美食
24,无意义/闲聊
25,其他生活服务
26,其他生活服务
27,美食
28,无意义/闲聊
29,无意义/闲聊
30,无意义/闲聊
31,美食
32,美食
33,美食
34,美食
35,其他生活服务
36,超市
37,其他生活服务
38,美食
39,其他生活服务
40,其他生活服务
41,美食
42,其他生活服务
43,美食
44,其他生活服务
45,无意义/闲聊
46,美食
47,无意义/闲聊
48,超市
49,美食
50,无意义/闲聊
51,其他生活服务
52,其他生活服务
53,美食
54,美食
55,其他生活服务
56,美食
57,其他生活服务
58,无意义/闲聊
59,美食
60,美食
61,美食
62,美食
63,美食
64,美食
65,美食
66,无意义/闲聊
67,其他生活服务
68,美食
69,其他生活服务
70,无意义/闲聊
71,美食
72,其他生活服务
73,无意义/闲聊
74,无意义/闲聊
75,美食
76,美食
77,地址/地标
78,美食
79,无意义/闲聊
80,无意义/闲聊
81,其他生活服务
82,无意义/闲聊
83,其他生活服务
84,美食
85,美食
86,美食
87,美食
88,美食
89,美食
90,美食
91,地址/地标
92,无意义/闲聊
93,无意义/闲聊
94,美食
95,无意义/闲聊
96,无意义/闲聊
97,其他生活服务
98,其他生活服务
99,无意义/闲聊
100,美食
101,美食
102,美食
103,其他生活服务
104,美食
105,其他生活服务
106,其他生活服务
107,其他生活服务
108,美食
109,美食
110,美食
111,其他生活服务
112,无意义/闲聊
113,美食
114,美食
115,美食
116,其他生活服务
117,地址/地标
118,美食
119,其他生活服务
120,无意义/闲聊
121,美食
122,美食
123,美食
124,地址/地标
125,美食
126,美食
127,其他生活服务
128,其他生活服务
129,美食
130,无意义/闲聊
131,其他生活服务
132,无意义/闲聊
133,美食
134,其他生活服务
135,美食
136,美食
137,其他生活服务
138,美食
139,其他生活服务
140,美食
141,无意义/闲聊
142,美食
143,无意义/闲聊
144,其他生活服务
145,其他生活服务
146,美食
147,无意义/闲聊
148,其他生活服务
149,无意义/闲聊
150,美食
151,其他生活服务
152,美食
153,无意义/闲聊
154,美食
155,美食
156,美食
157,美食
158,美食
159,美食
160,超市
161,美食
162,无意义/闲聊
163,美食
164,其他生活服务
165,无意义/闲聊
166,美食
167,无意义/闲聊
168,交通
169,其他生活服务
170,美食
171,其他生活服务
172,无意义/闲聊
173,无意义/闲聊
174,美食
175,旅游
176,美食
177,超市
178,美食
179,美食
180,无意义/闲聊
181,美食
182,其他生活服务
183,超市
184,美食
185,美食
186,美食
187,美食
188,美食
189,美食
190,美食
191,无意义/闲聊
192,美食
193,美食
194,美食
195,其他生活服务
196,美食
197,电影
198,美食
199,其他生活服务
200,无意义/闲聊
201,美食
202,美食
203,其他生活服务
204,其他生活服务
205,其他生活服务
206,美食
207,无意义/闲聊
208,其他生活服务
209,美食
210,美食
211,美食
212,美食
213,其他生活服务
214,美食
215,其他生活服务
216,其他生活服务
217,美食
218,其他生活服务
219,地址/地标
220,旅游
221,其他生活服务
222,美食
223,美食
224,美食
225,地址/地标
226,美食
227,地址/地标
228,无意义/闲聊
229,其他生活服务
230,其他生活服务
231,其他生活服务
232,美食
233,美食
234,无意义/闲聊
235,美食
236,地址/地标
237,美食
238,其他生活服务
239,美食
240,美食
241,无意义/闲聊
242,超市
243,美食
244,美食
245,无意义/闲聊
246,美食
247,其他生活服务
248,美食
249,无意义/闲聊
250,其他生活服务
251,美食
252,美食
253,地址/地标
254,美食
255,无意义/闲聊
256,其他生活服务
257,旅游
258,无意义/闲聊
259,其他生活服务
260,无意义/闲聊
261,美食
262,无意义/闲聊
263,其他生活服务
264,美食
265,其他生活服务
266,美食
267,美食
268,无意义/闲聊
269,美食
270,美食
271,其他生活服务
272,美食
273,无意义/闲聊
274,美食
275,无意义/闲聊
276,其他生活服务
277,无意义/闲聊
278,地址/地标
279,无意义/闲聊
280,地址/地标
281,其他生活服务
282,无意义/闲聊
283,美食
284,按摩
285,其他生活服务
286,超市
287,其他生活服务
288,超市
289,无意义/闲聊
290,美食
291,其他生活服务
292,其他生活服务
293,无意义/闲聊
294,美食
295,无意义/闲聊
296,无意义/闲聊
297,超市
298,其他生活服务
299,其他生活服务
300,美食
301,美食
302,无意义/闲聊
303,美食
304,其他生活服务
305,无意义/闲聊
306,其他生活服务
307,美食
308,无意义/闲聊
309,美食
310,美食
311,交通
312,其他生活服务
313,美食
314,美食
315,其他生活服务
316,其他生活服务
317,其他生活服务
318,无意义/闲聊
319,无意义/闲聊
320,无意义/闲聊
321,美食
322,美食
323,无意义/闲聊
324,美食
325,美食
326,按摩
327,美食
328,美食
329,美食
330,美食
331,无意义/闲聊
332,旅游
333,美食
334,其他生活服务
335,旅游
336,美食
337,其他生活服务
338,美食
339,无意义/闲聊
340,美食
341,美食
342,美食
343,无意义/闲聊
344,美食
345,无意义/闲聊
346,美食
347,美食
348,美食
349,美食
350,美食
351,无意义/闲聊
352,无意义/闲聊
353,旅游
354,无意义/闲聊
355,美食
356,其他生活服务
357,其他生活服务
358,美食
359,其他生活服务
360,其他生活服务
361,其他生活服务
362,美食
363,地址/地标
364,其他生活服务
365,美食
366,旅游
367,美食
368,其他生活服务
369,美食
370,美食
371,美食
372,美食
373,其他生活服务
374,美食
375,无意义/闲聊
376,美食
377,无意义/闲聊
378,其他生活服务
379,其他生活服务
380,其他生活服务
381,电影
382,无意义/闲聊
383,其他生活服务
384,美食
385,美食
386,美食
387,美食
388,美食
389,无意义/闲聊
390,地址/地标
391,其他生活服务
392,美食
393,其他生活服务
394,美食
395,美食
396,无意义/闲聊
397,美食
398,美食
399,其他生活服务
400,无意义/闲聊
401,美食
402,其他生活服务
403,地址/地标
404,其他生活服务
405,其他生活服务
406,地址/地标
407,美食
408,其他生活服务
409,无意义/闲聊
410,无意义/闲聊
411,美食
412,其他生活服务
413,超市
414,美食
415,其他生活服务
416,美食
417,其他生活服务
418,美食
419,其他生活服务
420,美食
421,其他生活服务
422,其他生活服务
423,美食
424,美食
425,美食
426,其他生活服务
427,其他生活服务
428,其他生活服务
429,无意义/闲聊
430,无意义/闲聊
431,其他生活服务
432,无意义/闲聊
433,美食
434,美食
435,美食
436,无意义/闲聊
437,美食
438,无意义/闲聊
439,美食
440,其他生活服务
441,美食
442,美食
443,美食
444,美食
445,美食
446,美食
447,无意义/闲聊
448,美食
449,无意义/闲聊
450,地址/地标
451,旅游
452,其他生活服务
453,美食
454,美食
455,无意义/闲聊
456,美食
457,其他生活服务
458,其他生活服务
459,美食
460,其他生活服务
461,美食
462,美食
463,美食
464,其他生活服务
465,美食
466,其他生活服务
467,美食
468,无意义/闲聊
469,无意义/闲聊
470,其他生活服务
471,美食
472,美食
473,美食
474,其他生活服务
475,地址/地标
476,美食
477,美食
478,美食
479,无意义/闲聊
480,无意义/闲聊
481,美食
482,无意义/闲聊
483,美食
484,其他生活服务
485,其他生活服务
486,美食
487,其他生活服务
488,旅游
489,美食
490,超市
491,美食
492,美食
493,美食
494,无意义/闲聊
495,美食
496,其他生活服务
497,美食
498,美食
499,美食
500,美食
501,无意义/闲聊
502,无意义/闲聊
503,无意义/闲聊
504,美食
505,按摩
506,美食
507,其他生活服务
508,无意义/闲聊
509,美食
510,其他生活服务
511,其他生活服务
512,其他生活服务
513,旅游
514,无意义/闲聊
515,无意义/闲聊
516,无意义/闲聊
517,美食
518,美食
519,无意义/闲聊
520,无意义/闲聊
521,其他生活服务
522,美食
523,其他生活服务
524,美食
525,美食
526,无意义/闲聊
527,美食
528,无意义/闲聊
529,美食
530,美食
531,美食
532,按摩
533,美食
534,超市
535,美食
536,其他生活服务
537,美食
538,无意义/闲聊
539,其他生活服务
540,美食
541,美食
542,其他生活服务
543,美食
544,无意义/闲聊
545,无意义/闲聊
546,美食
547,美食
548,美食
549,美食
550,无意义/闲聊
551,其他生活服务
552,其他生活服务
553,旅游
554,无意义/闲聊
555,无意义/闲聊
556,无意义/闲聊
557,旅游
558,地址/地标
559,其他生活服务
560,无意义/闲聊
561,地址/地标
562,其他生活服务
563,住宿
564,其他生活服务
565,其他生活服务
566,其他生活服务
567,美食
568,其他生活服务
569,无意义/闲聊
570,美食
571,交通
572,无意义/闲聊
573,美食
574,其他生活服务
575,美食
576,美食
577,地址/地标
578,无意义/闲聊
579,地址/地标
580,其他生活服务
581,美食
582,美食
583,美食
584,美食
585,超市
586,无意义/闲聊
587,其他生活服务
588,美食
589,美食
590,美食
591,无意义/闲聊
592,无意义/闲聊
593,美食
594,美食
595,旅游
596,无意义/闲聊
597,其他生活服务
598,美食
599,其他生活服务
600,美食
601,其他生活服务
602,其他生活服务
603,美食
604,美食
605,无意义/闲聊
606,其他生活服务
607,美食
608,美食
609,无意义/闲聊
610,无意义/闲聊
611,美食
612,美食
613,美食
614,无意义/闲聊
615,美食
616,美食
617,旅游
618,其他生活服务
619,美食
620,美食
621,无意义/闲聊
622,其他生活服务
623,其他生活服务
624,美食
625,无意义/闲聊
626,地址/地标
627,无意义/闲聊
628,其他生活服务
629,无意义/闲聊
630,美食
631,无意义/闲聊
632,旅游
633,地址/地标
634,按摩
635,美食
636,其他生活服务
637,地址/地标
638,其他生活服务
639,美食
640,其他生活服务
641,无意义/闲聊
642,地址/地标
643,美食
644,美食
645,其他生活服务
646,美食
647,地址/地标
648,美食
649,美食
650,美食
651,其他生活服务
652,无意义/闲聊
653,无意义/闲聊
654,美食
655,按摩
656,无意义/闲聊
657,美食
658,其他生活服务
659,美食
660,其他生活服务
661,地址/地标
662,无意义/闲聊
663,其他生活服务
664,美食
665,无意义/闲聊
666,其他生活服务
667,超市
668,美食
669,美食
670,其他生活服务
671,其他生活服务
672,美食
673,地址/地标
674,美食
675,美食
676,美食
677,美食
678,美食
679,其他生活服务
680,美食
681,其他生活服务
682,美食
683,美食
684,地址/地标
685,无意义/闲聊
686,美食
687,地址/地标
688,美食
689,无意义/闲聊
690,无意义/闲聊
691,按摩
692,其他生活服务
693,美食
694,美食
695,无意义/闲聊
696,美食
697,无意义/闲聊
698,美食
699,美食
700,无意义/闲聊
701,无意义/闲聊
702,其他生活服务
703,无意义/闲聊
704,美食
705,无意义/闲聊
706,美食
707,其他生活服务
708,其他生活服务
709,美食
710,美食
711,其他生活服务
712,地址/地标
713,其他生活服务
714,美食
715,美食
716,无意义/闲聊
717,美食
718,无意义/闲聊
719,美食
720,美食
721,美食
722,其他生活服务
723,其他生活服务
724,美食
725,美食
726,美食
727,美食
728,电影
729,地址/地标
730,美食
731,其他生活服务
732,美食
733,无意义/闲聊
734,地址/地标
735,美食
736,无意义/闲聊
737,无意义/闲聊
738,美食
739,美食
740,无意义/闲聊
741,旅游
742,美食
743,其他生活服务
744,其他生活服务
745,其他生活服务
746,美食
747,美食
748,无意义/闲聊
749,其他生活服务
750,美食
751,无意义/闲聊
752,美食
753,无意义/闲聊
754,无意义/闲聊
755,其他生活服务
756,美食
757,美食
758,美食
759,美食
760,美食
761,地址/地标
762,美食
763,无意义/闲聊
764,美食
765,美食
766,无意义/闲聊
767,其他生活服务
768,美食
769,无意义/闲聊
770,美食
771,其他生活服务
772,无意义/闲聊
773,无意义/闲聊
774,美食
775,其他生活服务
776,美食
777,美食
778,无意义/闲聊
779,美食
780,无意义/闲聊
781,超市
782,美食
783,超市
784,无意义/闲聊
785,美食
786,美食
787,美食
788,美食
789,交通
790,美食
791,其他生活服务
792,美食
793,无意义/闲聊
794,其他生活服务
795,美食
796,地址/地标
797,其他生活服务
798,无意义/闲聊
799,其他生活服务
800,地址/地标
801,美食
802,超市
803,其他生活服务
804,无意义/闲聊
805,美食
806,美食
807,其他生活服务
808,美食
809,美食
810,美食
811,无意义/闲聊
812,其他生活服务
813,无意义/闲聊
814,美食
815,美食
816,美食
817,其他生活服务
818,无意义/闲聊
819,美食
820,超市
821,其他生活服务
822,美食
823,无意义/闲聊
824,无意义/闲聊
825,美食
826,美食
827,美食
828,美食
829,其他生活服务
830,无意义/闲聊
831,KTV
832,美食
833,其他生活服务
834,美食
835,无意义/闲聊
836,无意义/闲聊
837,无意义/闲聊
838,其他生活服务
839,无意义/闲聊
840,旅游
841,超市
842,美食
843,美食
844,美食
845,其他生活服务
846,无意义/闲聊
847,地址/地标
848,无意义/闲聊
849,地址/地标
850,无意义/闲聊
851,无意义/闲聊
852,无意义/闲聊
853,无意义/闲聊
854,其他生活服务
855,美食
856,其他生活服务
857,美食
858,美食
859,其他生活服务
860,其他生活服务
861,美食
862,美食
863,美食
864,无意义/闲聊
865,美食
866,无意义/闲聊
867,美食
868,无意义/闲聊
869,美食
870,美食
871,无意义/闲聊
872,其他生活服务
873,美食
874,无意义/闲聊
875,其他生活服务
876,按摩
877,旅游
878,电影
879,其他生活服务
880,美食
881,美食
882,美食
883,地址/地标
884,美食
885,美食
886,美食
887,无意义/闲聊
888,美食
889,其他生活服务
890,其他生活服务
891,美食
892,其他生活服务
893,美食
894,美食
895,美食
896,其他生活服务
897,其他生活服务
898,超市
